Algorithm,Function,Instance,Dimension,ERT,min_ERT,RELERT
BIPOP-CMA-ES,24,2,5,inf,102048.92307692308,1000000.0
BIPOP-CMA-ES,24,2,10,inf,695303.2166666667,1000000.0
BIPOP-CMA-ES,24,3,2,276783.44444444444,525.5555555555555,526.6492600422833
BIPOP-CMA-ES,24,3,3,1449303.0,6952.75,208.45032541080866
BIPOP-CMA-ES,24,3,5,5640716.5,102048.92307692308,55.274630343213964
BIPOP-CMA-ES,24,3,10,inf,695303.2166666667,1000000.0
BIPOP-CMA-ES,24,4,2,894527.8666666667,525.5555555555555,1702.0614799154334
BIPOP-CMA-ES,24,4,3,1341016.0952380951,6952.75,192.87563845069866
BIPOP-CMA-ES,24,4,5,1643793.3043478262,102048.92307692308,16.10789467233042
BIPOP-CMA-ES,24,4,10,inf,695303.2166666667,1000000.0
BIPOP-CMA-ES,24,5,2,816354.0,525.5555555555555,1553.3162790697675
BIPOP-CMA-ES,24,5,3,593088.5789473684,6952.75,85.30273329939497
BIPOP-CMA-ES,24,5,5,inf,102048.92307692308,1000000.0
BIPOP-CMA-ES,24,5,10,inf,695303.2166666667,1000000.0
BIPOP-aCMA-STEP_loshchilov_noiseless,1,1,2,67.75,57.5,1.1782608695652175
BIPOP-aCMA-STEP_loshchilov_noiseless,1,1,3,111.57142857142857,72.66666666666667,1.535386631716907
BIPOP-aCMA-STEP_loshchilov_noiseless,1,1,5,170.22222222222223,76.66666666666667,2.2202898550724637
BIPOP-aCMA-STEP_loshchilov_noiseless,1,1,10,337.90909090909093,104.0,3.249125874125874
BIPOP-aCMA-STEP_loshchilov_noiseless,1,2,2,71.71428571428571,57.5,1.2472049689440994
BIPOP-aCMA-STEP_loshchilov_noiseless,1,2,3,95.5,72.66666666666667,1.3142201834862384
BIPOP-aCMA-STEP_loshchilov_noiseless,1,2,5,174.63636363636363,76.66666666666667,2.277865612648221
BIPOP-aCMA-STEP_loshchilov_noiseless,1,2,10,336.54545454545456,104.0,3.2360139860139863
BIPOP-aCMA-STEP_loshchilov_noiseless,1,3,2,60.875,57.5,1.058695652173913
BIPOP-aCMA-STEP_loshchilov_noiseless,1,3,3,93.44444444444444,72.66666666666667,1.285932721712538
BIPOP-aCMA-STEP_loshchilov_noiseless,1,3,5,172.1,76.66666666666667,2.244782608695652
